SL_No,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Death
1,Andhra Pradesh,12,0,1,0
2,Chhattisgarh,6,0,0,0
3,Delhi,38,1,6,1
4,Gujarat,43,0,0,3
5,Haryana,16,14,11,0
6,Himachal Pradesh,4,0,0,1
7,Karnataka,20,0,3,2
8,Kerala,131,7,11,0
9,Madhya Pradesh,23,0,0,1
10,Maharashtra,144,3,15,4
11,Odisha,3,0,0,0
12,Puducherry,1,0,0,0
13,Punjab,29,0,0,1
14,Rajasthan,41,2,3,0
15,Tamil Nadu,32,3,1,1
16,Telengana,34,11,1,0
17,Chandigarh,7,0,0,0
18,Jammu and Kashmir,18,0,1,1
19,Ladakh,13,0,0,0
20,Uttar Pradesh,42,1,11,0
21,Uttarakhand,4,0,0,0
22,West Bengal,11,0,0,1
23,Bihar,7,0,0,1
24,Mizoram,1,0,0,0
25,Goa,6,0,0,0
26,Manipur,1,0,0,0
