,FEED_NAME,LAST_RUN_STATUS,
0,apic_port_util_stats_transformed_hist,COMPLETED,
1,tems_mpls_inventory_details,ABANDONED,
2,remote_login_isp_hourly_snapshot,COMPLETED,
3,tems_internet_inventory_details,ABANDONED,
4,tems_point_to_point_inventory_details,ABANDONED,
5,remote_login_isp_hourly_history,COMPLETED,
6,am_net_hierarchy_staged_datatype1,COMPLETED,
7,am_network_free_subnet_blocks_base,COMPLETED,
8,am_network_free_subnet_blocks,COMPLETED,
9,am_net_hierarchy_transformed,COMPLETED,
10,cmx_clients_data,ABANDONED,
11,am_net_hierarchy_table,COMPLETED,
12,am_net_hierarchy_staged_where,COMPLETED,
13,am_net_hierarchy_transformed_interface_only,COMPLETED,
14,am_net_hierarchy_transformed_subnet_only,COMPLETED,
15,esp_host_topology,COMPLETED,
16,esp_cmdb_ci_cluster_node,COMPLETED,
17,itsm_change_request,COMPLETED,
18,itsm_user_information,COMPLETED,
19,wpr_building_data,COMPLETED,
20,esp_vm_vcenter,COMPLETED,
21,esp_dscy_router_interface,COMPLETED,
22,ise_endpoint_network_access_two,COMPLETED,Need to check
23,oci_storage_sw_switch_map,COMPLETED,
24,oci_net_app_san_data_store_map,COMPLETED,
25,itsm_lo_vs_of_fields,COMPLETED,
26,itsm_change_request_with_limited_information,COMPLETED,
27,itsm_fiscal_information,COMPLETED,
28,wpr_building_by_org,COMPLETED,
29,itsm_incident_alert,COMPLETED,
30,svl_power_iq_pdu_outlets_readings_monthly_roll...,COMPLETED,
31,svl_power_iq_rack_reading_monthly_rollup_table...,COMPLETED,
32,svl_power_iq_pdu_outlets_readings_hourly_rollu...,COMPLETED,
33,svl_power_iq_pdu_outlets_table_stage,COMPLETED,
34,svl_power_iq_edm_nodes_stage,COMPLETED,
35,svl_power_iq_pdus_table_stage,COMPLETED,
36,svl_power_iq_rack_reading_daily_rollup_table_s...,COMPLETED,
37,svl_power_iq_pdu_outlets_readings_daily_rollup...,COMPLETED,
38,svl_power_iq_rack_table_stage,COMPLETED,
39,svl_jira_customfieldoption_table_staged,COMPLETED,
40,svl_jira_project_table_staged,COMPLETED,
41,svl_jira_customfieldvalue_table_staged,COMPLETED,
42,svl_jira_jiraissue_table_staged,COMPLETED,
